member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"VA01 Robert J. Wittman, R","Yorktown Office, Tappahannock Office, Stafford Office",VA01,Robert J. Wittman,Wittman,Robert,J.,,R,2055 Rayburn House Office Building,Washington,DC,20515-4601,W000804,"75,77,78"
"VA02 Scott Taylor, R",,VA02,Scott Taylor,Taylor,Scott,,,R,412 Cannon House Office Building,Washington,DC,20515-4602,T000477,80
"VA03 Robert C. ""Bobby"" Scott, D",Hampton Roads,VA03,"Robert C. ""Bobby"" Scott",Scott,Robert,"C. ""Bobby""",,D,1201 Longworth House Office Building,Washington,DC,20515-4603,S000185,95
"VA04 A. Donald McEachin, D",,VA04,A. Donald McEachin,McEachin,A.,Donald,,D,314 Cannon House Office Building,Washington,DC,20515-4604,M001200,
"VA05 Thomas A. Garrett, Jr., R",,VA05,"Thomas A. Garrett, Jr.",Garrett,Thomas,A.,Jr.,R,415 Cannon House Office Building,Washington,DC,20515-4605,G000580,
"VA06 Bob Goodlatte, R"," Harrisonburg Office, Lynchburg Office, Roanoke Office, Staunton Office",VA06,Bob Goodlatte,Goodlatte,Bob,,,R,2309 Rayburn House Office Building,Washington,DC,20515-4606,G000289,"96,97,98,99"
"VA07 Dave Brat, R","Glen Allen District Office, Spotsylvania District Office",VA07,Dave Brat,Brat,Dave,,,R,1628 Longworth House Office Building,Washington,DC,20515-4607,B001290,"108,117"
"VA08 Donald S. Beyer, Jr., D",District Office,VA08,"Donald S. Beyer, Jr.",Beyer,Donald,S.,Jr.,D,1119 Longworth House Office Building,Washington,DC,20515-4608,B001292,119
"VA09 H. Morgan Griffith, R","Abingdon District Office, Christiansburg District Office, Big Stone Gap Office",VA09,H. Morgan Griffith,Griffith,H.,Morgan,,R,2202 Rayburn House Office Building,Washington,DC,20515-4609,G000568,"122,125,127"
"VA10 Barbara Comstock, R","Loudoun County Office, Shenandoah Valley Office",VA10,Barbara Comstock,Comstock,Barbara,,,R,229 Cannon House Office Building,Washington,DC,20515-4610,C001105,"169,170"
